Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
8000                 | 1.00            | 8.63            | 3013.56         | 44185.54        | 47199.10             | 6755.90                  
8000                 | 1.10            | 7.85            | 3013.56         | 40168.68        | 43182.23             | 10772.77                 
8000                 | 1.20            | 7.19            | 3013.56         | 36821.29        | 39834.84             | 14120.16                 
8000                 | 1.30            | 6.64            | 3013.56         | 33988.88        | 37002.44             | 16952.56                 
8000                 | 1.40            | 6.16            | 3013.56         | 31561.10        | 34574.66             | 19380.34                 
8000                 | 1.50            | 5.75            | 3013.56         | 29457.03        | 32470.59             | 21484.41                 
8000                 | 1.60            | 5.39            | 3013.56         | 27615.97        | 30629.52             | 23325.48                 
8000                 | 1.70            | 5.08            | 3013.56         | 25991.50        | 29005.05             | 24949.95                 
8000                 | 1.80            | 4.79            | 3013.56         | 24547.52        | 27561.08             | 26393.92                 
8000                 | 1.90            | 4.54            | 3013.56         | 23255.55        | 26269.11             | 27685.89                 
8000                 | 2.00            | 4.31            | 3013.56         | 22092.77        | 25106.33             | 28848.67                 

Results for Mass Flow Rate: 6000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.50            | 12.94           | 6547.18         | 49708.74        | 56255.92             | -2300.92                 
6000                 | 0.60            | 10.79           | 6547.18         | 41423.95        | 47971.13             | 5983.87                  
6000                 | 0.70            | 9.25            | 6547.18         | 35506.24        | 42053.42             | 11901.58                 
6000                 | 0.80            | 8.09            | 6547.18         | 31067.96        | 37615.14             | 16339.86                 
6000                 | 0.90            | 7.19            | 6547.18         | 27615.97        | 34163.14             | 19791.86                 
6000                 | 1.00            | 6.47            | 6547.18         | 24854.37        | 31401.55             | 22553.45                 
6000                 | 1.10            | 5.88            | 6547.18         | 22594.88        | 29142.06             | 24812.94                 
6000                 | 1.20            | 5.39            | 6547.18         | 20711.97        | 27259.15             | 26695.85                 
6000                 | 1.30            | 4.98            | 6547.18         | 19118.75        | 25665.92             | 28289.08                 
6000                 | 1.40            | 4.62            | 6547.18         | 17753.12        | 24300.30             | 29654.70                 
6000                 | 1.50            | 4.31            | 6547.18         | 16569.58        | 23116.76             | 30838.24                 
6000                 | 1.60            | 4.05            | 6547.18         | 15533.98        | 22081.16             | 31873.84                 
6000                 | 1.70            | 3.81            | 6547.18         | 14620.22        | 21167.39             | 32787.61                 
6000                 | 1.80            | 3.60            | 6547.18         | 13807.98        | 20355.16             | 33599.84                 
6000                 | 1.90            | 3.41            | 6547.18         | 13081.25        | 19628.42             | 34326.58                 
6000                 | 2.00            | 3.24            | 6547.18         | 12427.18        | 18974.36             | 34980.64                 

Results for Mass Flow Rate: 7000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
7000                 | 0.50            | 15.10           | 6547.18         | 67659.12        | 74206.29             | -20251.29                
7000                 | 0.60            | 12.59           | 6547.18         | 56382.60        | 62929.77             | -8974.77                 
7000                 | 0.70            | 10.79           | 6547.18         | 48327.94        | 54875.12             | -920.12                  
7000                 | 0.80            | 9.44            | 6547.18         | 42286.95        | 48834.12             | 5120.88                  
7000                 | 0.90            | 8.39            | 6547.18         | 37588.40        | 44135.57             | 9819.43                  
7000                 | 1.00            | 7.55            | 6547.18         | 33829.56        | 40376.74             | 13578.26                 
7000                 | 1.10            | 6.86            | 6547.18         | 30754.14        | 37301.32             | 16653.68                 
