Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
7000                 | 1.40            | 5.39            | 17256.47        | 24163.97        | 41420.44             | 12534.56                 
7000                 | 1.50            | 5.03            | 17256.47        | 22553.04        | 39809.51             | 14145.49                 
7000                 | 1.60            | 4.72            | 17256.47        | 21143.47        | 38399.95             | 15555.05                 
7000                 | 1.70            | 4.44            | 17256.47        | 19899.74        | 37156.21             | 16798.79                 
7000                 | 1.80            | 4.20            | 17256.47        | 18794.20        | 36050.67             | 17904.33                 
7000                 | 1.90            | 3.97            | 17256.47        | 17805.03        | 35061.50             | 18893.50                 
7000                 | 2.00            | 3.78            | 17256.47        | 16914.78        | 34171.25             | 19783.75                 
7000                 | 2.10            | 3.60            | 17256.47        | 16109.31        | 33365.79             | 20589.21                 
7000                 | 2.20            | 3.43            | 17256.47        | 15377.07        | 32633.55             | 21321.45                 

Results for Mass Flow Rate: 8000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
8000                 | 0.70            | 12.33           | 17256.47        | 63122.21        | 80378.68             | -26423.68                
8000                 | 0.80            | 10.79           | 17256.47        | 55231.93        | 72488.41             | -18533.41                
8000                 | 0.90            | 9.59            | 17256.47        | 49095.05        | 66351.52             | -12396.52                
8000                 | 1.00            | 8.63            | 17256.47        | 44185.54        | 61442.02             | -7487.02                 
8000                 | 1.10            | 7.85            | 17256.47        | 40168.68        | 57425.15             | -3470.15                 
8000                 | 1.20            | 7.19            | 17256.47        | 36821.29        | 54077.76             | -122.76                  
8000                 | 1.30            | 6.64            | 17256.47        | 33988.88        | 51245.36             | 2709.64                  
8000                 | 1.40            | 6.16            | 17256.47        | 31561.10        | 48817.58             | 5137.42                  
8000                 | 1.50            | 5.75            | 17256.47        | 29457.03        | 46713.50             | 7241.50                  
8000                 | 1.60            | 5.39            | 17256.47        | 27615.97        | 44872.44             | 9082.56                  
8000                 | 1.70            | 5.08            | 17256.47        | 25991.50        | 43247.97             | 10707.03                 
8000                 | 1.80            | 4.79            | 17256.47        | 24547.52        | 41804.00             | 12151.00                 
8000                 | 1.90            | 4.54            | 17256.47        | 23255.55        | 40512.02             | 13442.98                 
8000                 | 2.00            | 4.31            | 17256.47        | 22092.77        | 39349.25             | 14605.75                 
8000                 | 2.10            | 4.11            | 17256.47        | 21040.74        | 38297.21             | 15657.79                 
8000                 | 2.20            | 3.92            | 17256.47        | 20084.34        | 37340.81             | 16614.19                 

Results for Mass Flow Rate: 6000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.70            | 9.25            | 74394.94        | 35506.24        | 109901.18            | -55946.18                
6000                 | 0.80            | 8.09            | 74394.94        | 31067.96        | 105462.90            | -51507.90                
6000                 | 0.90            | 7.19            | 74394.94        | 27615.97        | 102010.91            | -48055.91                
6000                 | 1.00            | 6.47            | 74394.94        | 24854.37        | 99249.31             | -45294.31                
6000                 | 1.10            | 5.88            | 74394.94        | 22594.88        | 96989.82             | -43034.82                
6000                 | 1.20            | 5.39            | 74394.94        | 20711.97        | 95106.92             | -41151.92                
6000                 | 1.30            | 4.98            | 74394.94        | 19118.75        | 93513.69             | -39558.69                
6000                 | 1.40            | 4.62            | 74394.94        | 17753.12        | 92148.06             | -38193.06                
6000                 | 1.50            | 4.31            | 74394.94        | 16569.58        | 90964.52             | -37009.52                
6000                 | 1.60            | 4.05            | 74394.94        | 15533.98        | 89928.92             | -35973.92                
6000                 | 1.70            | 3.81            | 74394.94        | 14620.22        | 89015.16             | -35060.16                
6000                 | 1.80            | 3.60            | 74394.94        | 13807.98        | 88202.92             | -34247.92                
6000                 | 1.90            | 3.41            | 74394.94        | 13081.25        | 87476.19             | -33521.19                
6000                 | 2.00            | 3.24            | 74394.94        | 12427.18        | 86822.13             | -32867.13                
6000                 | 2.10            | 3.08            | 74394.94        | 11835.41        | 86230.36             | -32275.36                
6000                 | 2.20            | 2.94            | 74394.94        | 11297.44        | 85692.38             | -31737.38                

Results for Mass Flow Rate: 7000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
7000                 | 0.70            | 10.79           | 74394.94        | 48327.94        | 122722.88            | -68767.88                
7000                 | 0.80            | 9.44            | 74394.94        | 42286.95        | 116681.89            | -62726.89                
7000                 | 0.90            | 8.39            | 74394.94        | 37588.40        | 111983.34            | -58028.34                
7000                 | 1.00            | 7.55            | 74394.94        | 33829.56        | 108224.50            | -54269.50                
7000                 | 1.10            | 6.86            | 74394.94        | 30754.14        | 105149.08            | -51194.08                
7000                 | 1.20            | 6.29            | 74394.94        | 28191.30        | 102586.24            | -48631.24                
7000                 | 1.30            | 5.81            | 74394.94        | 26022.74        | 100417.68            | -46462.68                
7000                 | 1.40            | 5.39            | 74394.94        | 24163.97        | 98558.91             | -44603.91                
7000                 | 1.50            | 5.03            | 74394.94        | 22553.04        | 96947.98             | -42992.98                
7000                 | 1.60            | 4.72            | 74394.94        | 21143.47        | 95538.41             | -41583.41                
7000                 | 1.70            | 4.44            | 74394.94        | 19899.74        | 94294.68             | -40339.68                
7000                 | 1.80            | 4.20            | 74394.94        | 18794.20        | 93189.14             | -39234.14                
7000                 | 1.90            | 3.97            | 74394.94        | 17805.03        | 92199.97             | -38244.97                
7000                 | 2.00            | 3.78            | 74394.94        | 16914.78        | 91309.72             | -37354.72                
7000                 | 2.10            | 3.60            | 74394.94        | 16109.31        | 90504.25             | -36549.25                
7000                 | 2.20            | 3.43            | 74394.94        | 15377.07        | 89772.01             | -35817.01                

Results for Mass Flow Rate: 8000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
8000                 | 0.70            | 12.33           | 74394.94        | 63122.21        | 137517.15            | -83562.15                
8000                 | 0.80            | 10.79           | 74394.94        | 55231.93        | 129626.87            | -75671.87                
8000                 | 0.90            | 9.59            | 74394.94        | 49095.05        | 123489.99            | -69534.99                
8000                 | 1.00            | 8.63            | 74394.94        | 44185.54        | 118580.49            | -64625.49                
8000                 | 1.10            | 7.85            | 74394.94        | 40168.68        | 114563.62            | -60608.62                
8000                 | 1.20            | 7.19            | 74394.94        | 36821.29        | 111216.23            | -57261.23                
8000                 | 1.30            | 6.64            | 74394.94        | 33988.88        | 108383.82            | -54428.82                
8000                 | 1.40            | 6.16            | 74394.94        | 31561.10        | 105956.04            | -52001.04                
8000                 | 1.50            | 5.75            | 74394.94        | 29457.03        | 103851.97            | -49896.97                
8000                 | 1.60            | 5.39            | 74394.94        | 27615.97        | 102010.91            | -48055.91                
8000                 | 1.70            | 5.08            | 74394.94        | 25991.50        | 100386.44            | -46431.44                
8000                 | 1.80            | 4.79            | 74394.94        | 24547.52        | 98942.47             | -44987.47                
8000                 | 1.90            | 4.54            | 74394.94        | 23255.55        | 97650.49             | -43695.49                
8000                 | 2.00            | 4.31            | 74394.94        | 22092.77        | 96487.71             | -42532.71                
8000                 | 2.10            | 4.11            | 74394.94        | 21040.74        | 95435.68             | -41480.68                
8000                 | 2.20            | 3.92            | 74394.94        | 20084.34        | 94479.28             | -40524.28                

Results for Mass Flow Rate: 6000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.70            | 9.25            | 38683.40        | 35506.24        | 74189.64             | -20234.64                
6000                 | 0.80            | 8.09            | 38683.40        | 31067.96        | 69751.36             | -15796.36                
6000                 | 0.90            | 7.19            | 38683.40        | 27615.97        | 66299.36             | -12344.36                
6000                 | 1.00            | 6.47            | 38683.40        | 24854.37        | 63537.77             | -9582.77                 
6000                 | 1.10            | 5.88            | 38683.40        | 22594.88        | 61278.28             | -7323.28                 
6000                 | 1.20            | 5.39            | 38683.40        | 20711.97        | 59395.37             | -5440.37                 
6000                 | 1.30            | 4.98            | 38683.40        | 19118.75        | 57802.14             | -3847.14                 
6000                 | 1.40            | 4.62            | 38683.40        | 17753.12        | 56436.52             | -2481.52                 
6000                 | 1.50            | 4.31            | 38683.40        | 16569.58        | 55252.98             | -1297.98                 
6000                 | 1.60            | 4.05            | 38683.40        | 15533.98        | 54217.38             | -262.38                  
6000                 | 1.70            | 3.81            | 38683.40        | 14620.22        | 53303.61             | 651.39                   
6000                 | 1.80            | 3.60            | 38683.40        | 13807.98        | 52491.38             | 1463.62                  
6000                 | 1.90            | 3.41            | 38683.40        | 13081.25        | 51764.64             | 2190.36                  
6000                 | 2.00            | 3.24            | 38683.40        | 12427.18        | 51110.58             | 2844.42                  
6000                 | 2.10            | 3.08            | 38683.40        | 11835.41        | 50518.81             | 3436.19                  
6000                 | 2.20            | 2.94            | 38683.40        | 11297.44        | 49980.84             | 3974.16                  

Results for Mass Flow Rate: 7000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
7000                 | 0.70            | 10.79           | 38683.40        | 48327.94        | 87011.34             | -33056.34                
7000                 | 0.80            | 9.44            | 38683.40        | 42286.95        | 80970.34             | -27015.34                
7000                 | 0.90            | 8.39            | 38683.40        | 37588.40        | 76271.79             | -22316.79                
7000                 | 1.00            | 7.55            | 38683.40        | 33829.56        | 72512.95             | -18557.95                
7000                 | 1.10            | 6.86            | 38683.40        | 30754.14        | 69437.54             | -15482.54                
7000                 | 1.20            | 6.29            | 38683.40        | 28191.30        | 66874.69             | -12919.69                
7000                 | 1.30            | 5.81            | 38683.40        | 26022.74        | 64706.13             | -10751.13                
7000                 | 1.40            | 5.39            | 38683.40        | 24163.97        | 62847.37             | -8892.37                 
7000                 | 1.50            | 5.03            | 38683.40        | 22553.04        | 61236.44             | -7281.44                 
7000                 | 1.60            | 4.72            | 38683.40        | 21143.47        | 59826.87             | -5871.87                 
7000                 | 1.70            | 4.44            | 38683.40        | 19899.74        | 58583.14             | -4628.14                 
7000                 | 1.80            | 4.20            | 38683.40        | 18794.20        | 57477.60             | -3522.60                 
7000                 | 1.90            | 3.97            | 38683.40        | 17805.03        | 56488.43             | -2533.43                 
7000                 | 2.00            | 3.78            | 38683.40        | 16914.78        | 55598.18             | -1643.18                 
7000                 | 2.10            | 3.60            | 38683.40        | 16109.31        | 54792.71             | -837.71                  
7000                 | 2.20            | 3.43            | 38683.40        | 15377.07        | 54060.47             | -105.47                  

Results for Mass Flow Rate: 8000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
8000                 | 0.70            | 12.33           | 38683.40        | 63122.21        | 101805.60            | -47850.60                
8000                 | 0.80            | 10.79           | 38683.40        | 55231.93        | 93915.33             | -39960.33                
8000                 | 0.90            | 9.59            | 38683.40        | 49095.05        | 87778.45             | -33823.45                
8000                 | 1.00            | 8.63            | 38683.40        | 44185.54        | 82868.94             | -28913.94                
8000                 | 1.10            | 7.85            | 38683.40        | 40168.68        | 78852.07             | -24897.07                
8000                 | 1.20            | 7.19            | 38683.40        | 36821.29        | 75504.68             | -21549.68                
8000                 | 1.30            | 6.64            | 38683.40        | 33988.88        | 72672.28             | -18717.28                
8000                 | 1.40            | 6.16            | 38683.40        | 31561.10        | 70244.50             | -16289.50                
8000                 | 1.50            | 5.75            | 38683.40        | 29457.03        | 68140.43             | -14185.43                
8000                 | 1.60            | 5.39            | 38683.40        | 27615.97        | 66299.36             | -12344.36                
8000                 | 1.70            | 5.08            | 38683.40        | 25991.50        | 64674.89             | -10719.89                
8000                 | 1.80            | 4.79            | 38683.40        | 24547.52        | 63230.92             | -9275.92                 
8000                 | 1.90            | 4.54            | 38683.40        | 23255.55        | 61938.95             | -7983.95                 
8000                 | 2.00            | 4.31            | 38683.40        | 22092.77        | 60776.17             | -6821.17                 
8000                 | 2.10            | 4.11            | 38683.40        | 21040.74        | 59724.13             | -5769.13                 
8000                 | 2.20            | 3.92            | 38683.40        | 20084.34        | 58767.74             | -4812.74                 

Results for Mass Flow Rate: 6000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.70            | 9.25            | 31541.09        | 35506.24        | 67047.33             | -13092.33                
6000                 | 0.80            | 8.09            | 31541.09        | 31067.96        | 62609.05             | -8654.05                 
6000                 | 0.90            | 7.19            | 31541.09        | 27615.97        | 59157.05             | -5202.05                 
6000                 | 1.00            | 6.47            | 31541.09        | 24854.37        | 56395.46             | -2440.46                 
6000                 | 1.10            | 5.88            | 31541.09        | 22594.88        | 54135.97             | -180.97                  
6000                 | 1.20            | 5.39            | 31541.09        | 20711.97        | 52253.06             | 1701.94                  
6000                 | 1.30            | 4.98            | 31541.09        | 19118.75        | 50659.83             | 3295.17                  
6000                 | 1.40            | 4.62            | 31541.09        | 17753.12        | 49294.21             | 4660.79                  
6000                 | 1.50            | 4.31            | 31541.09        | 16569.58        | 48110.67             | 5844.33                  
6000                 | 1.60            | 4.05            | 31541.09        | 15533.98        | 47075.07             | 6879.93                  
6000                 | 1.70            | 3.81            | 31541.09        | 14620.22        | 46161.30             | 7793.70                  
6000                 | 1.80            | 3.60            | 31541.09        | 13807.98        | 45349.07             | 8605.93                  
6000                 | 1.90            | 3.41            | 31541.09        | 13081.25        | 44622.33             | 9332.67                  
6000                 | 2.00            | 3.24            | 31541.09        | 12427.18        | 43968.27             | 9986.73                  
6000                 | 2.10            | 3.08            | 31541.09        | 11835.41        | 43376.50             | 10578.50                 
6000                 | 2.20            | 2.94            | 31541.09        | 11297.44        | 42838.53             | 11116.47                 

Results for Mass Flow Rate: 7000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
7000                 | 0.70            | 10.79           | 31541.09        | 48327.94        | 79869.03             | -25914.03                
7000                 | 0.80            | 9.44            | 31541.09        | 42286.95        | 73828.04             | -19873.04                
7000                 | 0.90            | 8.39            | 31541.09        | 37588.40        | 69129.49             | -15174.49                
7000                 | 1.00            | 7.55            | 31541.09        | 33829.56        | 65370.65             | -11415.65                
7000                 | 1.10            | 6.86            | 31541.09        | 30754.14        | 62295.23             | -8340.23                 
7000                 | 1.20            | 6.29            | 31541.09        | 28191.30        | 59732.39             | -5777.39                 
7000                 | 1.30            | 5.81            | 31541.09        | 26022.74        | 57563.82             | -3608.82                 
7000                 | 1.40            | 5.39            | 31541.09        | 24163.97        | 55705.06             | -1750.06                 
7000                 | 1.50            | 5.03            | 31541.09        | 22553.04        | 54094.13             | -139.13                  
7000                 | 1.60            | 4.72            | 31541.09        | 21143.47        | 52684.56             | 1270.44                  
7000                 | 1.70            | 4.44            | 31541.09        | 19899.74        | 51440.83             | 2514.17                  
7000                 | 1.80            | 4.20            | 31541.09        | 18794.20        | 50335.29             | 3619.71                  
7000                 | 1.90            | 3.97            | 31541.09        | 17805.03        | 49346.12             | 4608.88                  
7000                 | 2.00            | 3.78            | 31541.09        | 16914.78        | 48455.87             | 5499.13                  
7000                 | 2.10            | 3.60            | 31541.09        | 16109.31        | 47650.40             | 6304.60                  
7000                 | 2.20            | 3.43            | 31541.09        | 15377.07        | 46918.16             | 7036.84                  

Results for Mass Flow Rate: 8000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
8000                 | 0.70            | 12.33           | 31541.09        | 63122.21        | 94663.29             | -40708.29                
8000                 | 0.80            | 10.79           | 31541.09        | 55231.93        | 86773.02             | -32818.02                
8000                 | 0.90            | 9.59            | 31541.09        | 49095.05        | 80636.14             | -26681.14                
8000                 | 1.00            | 8.63            | 31541.09        | 44185.54        | 75726.63             | -21771.63                
8000                 | 1.10            | 7.85            | 31541.09        | 40168.68        | 71709.76             | -17754.76                
8000                 | 1.20            | 7.19            | 31541.09        | 36821.29        | 68362.38             | -14407.38                
8000                 | 1.30            | 6.64            | 31541.09        | 33988.88        | 65529.97             | -11574.97                
8000                 | 1.40            | 6.16            | 31541.09        | 31561.10        | 63102.19             | -9147.19                 
8000                 | 1.50            | 5.75            | 31541.09        | 29457.03        | 60998.12             | -7043.12                 
8000                 | 1.60            | 5.39            | 31541.09        | 27615.97        | 59157.05             | -5202.05                 
8000                 | 1.70            | 5.08            | 31541.09        | 25991.50        | 57532.58             | -3577.58                 
8000                 | 1.80            | 4.79            | 31541.09        | 24547.52        | 56088.61             | -2133.61                 
8000                 | 1.90            | 4.54            | 31541.09        | 23255.55        | 54796.64             | -841.64                  
8000                 | 2.00            | 4.31            | 31541.09        | 22092.77        | 53633.86             | 321.14                   
8000                 | 2.10            | 4.11            | 31541.09        | 21040.74        | 52581.82             | 1373.18                  
8000                 | 2.20            | 3.92            | 31541.09        | 20084.34        | 51625.43             | 2329.57                  

Results for Mass Flow Rate: 3000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
3000                 | 0.70            | 4.62            | 31541.09        | 8876.56         | 40417.65             | 13537.35                 
3000                 | 0.80            | 4.05            | 31541.09        | 7766.99         | 39308.08             | 14646.92                 
3000                 | 0.90            | 3.60            | 31541.09        | 6903.99         | 38445.08             | 15509.92                 
3000                 | 1.00            | 3.24            | 31541.09        | 6213.59         | 37754.68             | 16200.32                 
3000                 | 1.10            | 2.94            | 31541.09        | 5648.72         | 37189.81             | 16765.19                 
3000                 | 1.20            | 2.70            | 31541.09        | 5177.99         | 36719.08             | 17235.92                 
3000                 | 1.30            | 2.49            | 31541.09        | 4779.69         | 36320.77             | 17634.23                 
3000                 | 1.40            | 2.31            | 31541.09        | 4438.28         | 35979.37             | 17975.63                 
3000                 | 1.50            | 2.16            | 31541.09        | 4142.39         | 35683.48             | 18271.52                 
3000                 | 1.60            | 2.02            | 31541.09        | 3883.50         | 35424.58             | 18530.42                 
3000                 | 1.70            | 1.90            | 31541.09        | 3655.05         | 35196.14             | 18758.86                 
3000                 | 1.80            | 1.80            | 31541.09        | 3452.00         | 34993.08             | 18961.92                 
3000                 | 1.90            | 1.70            | 31541.09        | 3270.31         | 34811.40             | 19143.60                 
3000                 | 2.00            | 1.62            | 31541.09        | 3106.80         | 34647.88             | 19307.12                 
3000                 | 2.10            | 1.54            | 31541.09        | 2958.85         | 34499.94             | 19455.06                 
3000                 | 2.20            | 1.47            | 31541.09        | 2824.36         | 34365.45             | 19589.55                 

Results for Mass Flow Rate: 4000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
4000                 | 0.70            | 6.16            | 31541.09        | 15780.55        | 47321.64             | 6633.36                  
4000                 | 0.80            | 5.39            | 31541.09        | 13807.98        | 45349.07             | 8605.93                  
4000                 | 0.90            | 4.79            | 31541.09        | 12273.76        | 43814.85             | 10140.15                 
4000                 | 1.00            | 4.31            | 31541.09        | 11046.39        | 42587.47             | 11367.53                 
4000                 | 1.10            | 3.92            | 31541.09        | 10042.17        | 41583.26             | 12371.74                 
4000                 | 1.20            | 3.60            | 31541.09        | 9205.32         | 40746.41             | 13208.59                 
4000                 | 1.30            | 3.32            | 31541.09        | 8497.22         | 40038.31             | 13916.69                 
4000                 | 1.40            | 3.08            | 31541.09        | 7890.28         | 39431.36             | 14523.64                 
4000                 | 1.50            | 2.88            | 31541.09        | 7364.26         | 38905.35             | 15049.65                 
4000                 | 1.60            | 2.70            | 31541.09        | 6903.99         | 38445.08             | 15509.92                 
4000                 | 1.70            | 2.54            | 31541.09        | 6497.87         | 38038.96             | 15916.04                 
4000                 | 1.80            | 2.40            | 31541.09        | 6136.88         | 37677.97             | 16277.03                 
4000                 | 1.90            | 2.27            | 31541.09        | 5813.89         | 37354.98             | 16600.02                 
4000                 | 2.00            | 2.16            | 31541.09        | 5523.19         | 37064.28             | 16890.72                 
4000                 | 2.10            | 2.05            | 31541.09        | 5260.18         | 36801.27             | 17153.73                 
4000                 | 2.20            | 1.96            | 31541.09        | 5021.08         | 36562.17             | 17392.83                 

Results for Mass Flow Rate: 5000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
5000                 | 0.70            | 7.71            | 31541.09        | 24657.11        | 56198.20             | -2243.20                 
5000                 | 0.80            | 6.74            | 31541.09        | 21574.97        | 53116.06             | 838.94                   
5000                 | 0.90            | 5.99            | 31541.09        | 19177.75        | 50718.84             | 3236.16                  
5000                 | 1.00            | 5.39            | 31541.09        | 17259.98        | 48801.07             | 5153.93                  
5000                 | 1.10            | 4.90            | 31541.09        | 15690.89        | 47231.98             | 6723.02                  
5000                 | 1.20            | 4.49            | 31541.09        | 14383.32        | 45924.40             | 8030.60                  
5000                 | 1.30            | 4.15            | 31541.09        | 13276.91        | 44817.99             | 9137.01                  
5000                 | 1.40            | 3.85            | 31541.09        | 12328.56        | 43869.64             | 10085.36                 
5000                 | 1.50            | 3.60            | 31541.09        | 11506.65        | 43047.74             | 10907.26                 
5000                 | 1.60            | 3.37            | 31541.09        | 10787.49        | 42328.57             | 11626.43                 
5000                 | 1.70            | 3.17            | 31541.09        | 10152.93        | 41694.02             | 12260.98                 
5000                 | 1.80            | 3.00            | 31541.09        | 9588.88         | 41129.96             | 12825.04                 
5000                 | 1.90            | 2.84            | 31541.09        | 9084.20         | 40625.29             | 13329.71                 
5000                 | 2.00            | 2.70            | 31541.09        | 8629.99         | 40171.08             | 13783.92                 
5000                 | 2.10            | 2.57            | 31541.09        | 8219.04         | 39760.13             | 14194.87                 
5000                 | 2.20            | 2.45            | 31541.09        | 7845.44         | 39386.53             | 14568.47                 

Results for Mass Flow Rate: 6000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.70            | 9.25            | 31541.09        | 35506.24        | 67047.33             | -13092.33                
6000                 | 0.80            | 8.09            | 31541.09        | 31067.96        | 62609.05             | -8654.05                 
6000                 | 0.90            | 7.19            | 31541.09        | 27615.97        | 59157.05             | -5202.05                 
6000                 | 1.00            | 6.47            | 31541.09        | 24854.37        | 56395.46             | -2440.46                 
6000                 | 1.10            | 5.88            | 31541.09        | 22594.88        | 54135.97             | -180.97                  
6000                 | 1.20            | 5.39            | 31541.09        | 20711.97        | 52253.06             | 1701.94                  
6000                 | 1.30            | 4.98            | 31541.09        | 19118.75        | 50659.83             | 3295.17                  
6000                 | 1.40            | 4.62            | 31541.09        | 17753.12        | 49294.21             | 4660.79                  
6000                 | 1.50            | 4.31            | 31541.09        | 16569.58        | 48110.67             | 5844.33                  
6000                 | 1.60            | 4.05            | 31541.09        | 15533.98        | 47075.07             | 6879.93                  
6000                 | 1.70            | 3.81            | 31541.09        | 14620.22        | 46161.30             | 7793.70                  
6000                 | 1.80            | 3.60            | 31541.09        | 13807.98        | 45349.07             | 8605.93                  
6000                 | 1.90            | 3.41            | 31541.09        | 13081.25        | 44622.33             | 9332.67                  
6000                 | 2.00            | 3.24            | 31541.09        | 12427.18        | 43968.27             | 9986.73                  
6000                 | 2.10            | 3.08            | 31541.09        | 11835.41        | 43376.50             | 10578.50                 
6000                 | 2.20            | 2.94            | 31541.09        | 11297.44        | 42838.53             | 11116.47                 

Results for Mass Flow Rate: 5000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
5000                 | 0.80            | 6.74            | 31541.09        | 21574.97        | 53116.06             | 838.94                   
5000                 | 0.84            | 6.42            | 31541.09        | 20547.59        | 52088.68             | 1866.32                  
5000                 | 0.88            | 6.13            | 31541.09        | 19613.61        | 51154.70             | 2800.30                  
5000                 | 0.92            | 5.86            | 31541.09        | 18760.85        | 50301.93             | 3653.07                  
5000                 | 0.96            | 5.62            | 31541.09        | 17979.14        | 49520.23             | 4434.77                  
5000                 | 1.00            | 5.39            | 31541.09        | 17259.98        | 48801.07             | 5153.93                  

Results for Mass Flow Rate: 5200 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
5200                 | 0.80            | 7.01            | 31541.09        | 23335.49        | 54876.58             | -921.58                  
5200                 | 0.84            | 6.68            | 31541.09        | 22224.28        | 53765.36             | 189.64                   
5200                 | 0.88            | 6.37            | 31541.09        | 21214.08        | 52755.17             | 1199.83                  
5200                 | 0.92            | 6.10            | 31541.09        | 20291.73        | 51832.82             | 2122.18                  
5200                 | 0.96            | 5.84            | 31541.09        | 19446.24        | 50987.33             | 2967.67                  
5200                 | 1.00            | 5.61            | 31541.09        | 18668.39        | 50209.48             | 3745.52                  

Results for Mass Flow Rate: 5400 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
5400                 | 0.80            | 7.28            | 31541.09        | 25165.05        | 56706.14             | -2751.14                 
5400                 | 0.84            | 6.93            | 31541.09        | 23966.71        | 55507.80             | -1552.80                 
5400                 | 0.88            | 6.62            | 31541.09        | 22877.32        | 54418.40             | -463.40                  
5400                 | 0.92            | 6.33            | 31541.09        | 21882.65        | 53423.74             | 531.26                   
5400                 | 0.96            | 6.07            | 31541.09        | 20970.87        | 52511.96             | 1443.04                  
5400                 | 1.00            | 5.83            | 31541.09        | 20132.04        | 51673.13             | 2281.87                  

Results for Mass Flow Rate: 5600 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
5600                 | 0.80            | 7.55            | 31541.09        | 27063.65        | 58604.73             | -4649.73                 
